month,city,brand,spike_detected
2025-08,Boise,American Eagle,Yes
2025-06,Boise,Forever 21,Yes
2025-06,Boise,Zara,Yes
2025-06,Buffalo,Forever 21,Yes
2025-08,Buffalo,Forever 21,Yes
2025-07,Buffalo,H&M,Yes
2025-07,Buffalo,Zara,Yes
2025-06,Madison,Forever 21,Yes
2025-07,Madison,Forever 21,Yes
2025-06,Madison,Uniqlo,Yes
2025-07,Madison,Uniqlo,Yes
2025-08,Madison,Uniqlo,Yes
2025-08,Madison,Zara,Yes
2025-08,Raleigh,American Eagle,Yes
2025-07,Raleigh,H&M,Yes
2025-08,Raleigh,H&M,Yes
2025-06,Sacramento,Forever 21,Yes
2025-07,Sacramento,Forever 21,Yes
2025-08,Sacramento,H&M,Yes
2025-06,Sacramento,Uniqlo,Yes
2025-08,Sacramento,Uniqlo,Yes
