task_id,month,city,brand,title,status,priority,owner,due_date,source_agent,required_units,decision,notes,created_at,updated_at,sla_risk
1001,Sep-2025,rochester,american eagle,Execute: Transfer,Pending,High,unassigned,2025-09-30,Simulation,1193.86,Transfer,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
1002,Sep-2025,rochester,urban outfitters,Execute: Hybrid,Pending,Medium,unassigned,2025-09-30,Simulation,958.37,Hybrid,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
1003,Sep-2025,rochester,forever 21,Execute: Transfer,Pending,High,unassigned,2025-09-30,Simulation,856.49,Transfer,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
1004,Sep-2025,rochester,uniqlo,Execute: Transfer,Pending,High,unassigned,2025-09-30,Simulation,686.11,Transfer,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
1005,Sep-2025,rochester,h&m,Execute: Hybrid,Pending,Medium,unassigned,2025-09-30,Simulation,559.05,Hybrid,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
1006,Sep-2025,greensboro,urban outfitters,Execute: Hybrid,Pending,Medium,unassigned,2025-09-30,Simulation,813.55,Hybrid,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
1007,Sep-2025,buffalo,urban outfitters,Execute: Transfer,Pending,High,unassigned,2025-09-30,Simulation,933.6,Transfer,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
1008,Sep-2025,buffalo,forever 21,Execute: Hybrid,Pending,Medium,unassigned,2025-09-30,Simulation,659.7,Hybrid,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
1009,Sep-2025,buffalo,uniqlo,Execute: Hybrid,Pending,Medium,unassigned,2025-09-30,Simulation,1058.1,Hybrid,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
1010,Sep-2025,buffalo,zara,Execute: Hybrid,Pending,Medium,unassigned,2025-09-30,Simulation,1175.93,Hybrid,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
1011,Sep-2025,buffalo,h&m,Execute: Transfer,Pending,High,unassigned,2025-09-30,Simulation,1062.07,Transfer,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
1012,Sep-2025,tucson,h&m,Execute: Transfer,Pending,High,unassigned,2025-09-30,Simulation,1061.55,Transfer,,2025-08-10 01:39:53,2025-08-10 01:39:53,High
